1,shrimp,almonds,avocado,vegetables_mix,green_grapes,whole_weat_flour,yams,cottage_cheese,energy_drink,tomato_juice,low_fat_yogurt,green_tea,honey,salad,mineral_water,salmon,antioxydant_juice,frozen_smoothie,spinach,olive_oil
2,burgers,meatballs,eggs,,,,,,,,,,,,,,,,,
3,chutney,,,,,,,,,,,,,,,,,,,
4,turkey,avocado,,,,,,,,,,,,,,,,,,
5,mineral_water,milk,energy_bar,whole_wheat_rice,green_tea,,,,,,,,,,,,,,,
6,low_fat_yogurt,,,,,,,,,,,,,,,,,,,
7,whole_wheat_pasta,french_fries,,,,,,,,,,,,,,,,,,
8,soup,light_cream,shallot,,,,,,,,,,,,,,,,,
9,frozen_vegetables,spaghetti,green_tea,,,,,,,,,,,,,,,,,
10,french_fries,,,,,,,,,,,,,,,,,,,
11,eggs,pet_food,,,,,,,,,,,,,,,,,,
12,cookies,,,,,,,,,,,,,,,,,,,
13,turkey,burgers,mineral_water,eggs,cooking_oil,,,,,,,,,,,,,,,
14,spaghetti,champagne,cookies,,,,,,,,,,,,,,,,,
15,mineral_water,salmon,,,,,,,,,,,,,,,,,,
16,mineral_water,,,,,,,,,,,,,,,,,,,
17,shrimp,chocolate,chicken,honey,oil,cooking_oil,low_fat_yogurt,,,,,,,,,,,,,
18,turkey,eggs,,,,,,,,,,,,,,,,,,
19,turkey,fresh_tuna,tomatoes,spaghetti,mineral_water,black_tea,salmon,eggs,chicken,extra_dark_chocolate,,,,,,,,,,
20,meatballs,milk,honey,french_fries,protein_bar,,,,,,,,,,,,,,,
21,red_wine,shrimp,pasta,pepper,eggs,chocolate,shampoo,,,,,,,,,,,,,
22,rice,sparkling_water,,,,,,,,,,,,,,,,,,
23,spaghetti,mineral_water,ham,body_spray,pancakes,green_tea,,,,,,,,,,,,,,
24,burgers,grated_cheese,shrimp,pasta,avocado,honey,white_wine,toothpaste,,,,,,,,,,,,
25,eggs,,,,,,,,,,,,,,,,,,,
26,parmesan_cheese,spaghetti,soup,avocado,milk,fresh_bread,,,,,,,,,,,,,,
27,ground_beef,spaghetti,mineral_water,milk,energy_bar,black_tea,salmon,frozen_smoothie,escalope,,,,,,,,,,,
28,sparkling_water,,,,,,,,,,,,,,,,,,,
29,mineral_water,eggs,chicken,chocolate,french_fries,,,,,,,,,,,,,,,
30,frozen_vegetables,spaghetti,yams,mineral_water,,,,,,,,,,,,,,,,
31,herb_&_pepper,tomato_sauce,light_cream,magazines,,,,,,,,,,,,,,,,
32,mineral_water,chocolate,avocado,eggs,,,,,,,,,,,,,,,,
33,turkey,french_fries,strawberries,,,,,,,,,,,,,,,,,
34,frozen_vegetables,strong_cheese,chocolate,,,,,,,,,,,,,,,,,
35,cookies,,,,,,,,,,,,,,,,,,,
36,pickles,spaghetti,salmon,escalope,,,,,,,,,,,,,,,,
37,energy_bar,french_fries,,,,,,,,,,,,,,,,,,
38,red_wine,ground_beef,mineral_water,,,,,,,,,,,,,,,,,
39,mineral_water,cake,cottage_cheese,,,,,,,,,,,,,,,,,
40,pickles,champagne,green_tea,,,,,,,,,,,,,,,,,
41,spaghetti,,,,,,,,,,,,,,,,,,,
42,fresh_tuna,frozen_vegetables,spaghetti,mineral_water,honey,whole_wheat_rice,frozen_smoothie,escalope,,,,,,,,,,,,
43,spaghetti,,,,,,,,,,,,,,,,,,,
44,soup,meatballs,hot_dogs,sparkling_water,,,,,,,,,,,,,,,,
45,escalope,,,,,,,,,,,,,,,,,,,
46,soup,avocado,french_fries,hot_dogs,brownies,body_spray,pancakes,green_tea,,,,,,,,,,,,
